title,description,date,source,url
"HDFC Bank denies allegations against MD & CEO Jagdishan, says recalcitrant defaulters at work to thwart recovery","The Lilavati Hospital Trust has demanded suspension of Mr Jagdishan for his alleged “direct involvement in serious of financial fraud, criminal conspiracy, abuse of fiduciary position, evidence tampering, and obstruction of justice”",29 minutes ago,— The Hindu Business,https://www.thehindu.com/business/Industry/hdfc-bank-denies-allegations-against-md-ceo-jagdishan-says-recalcitrant-defaulters-at-work-to-thwart-recovery/article69669694.ece
"RBI Rate Cut Impact: BoB, UCO Bank, PNB And BoI Lower Lending Rates",A number of banks have lowered their lending rates following the RBI's repo rate cut on Friday.,2 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/personal-finance/rbi-rate-cut-impact-bank-of-baroda-uco-bank-punjab-national-and-bank-of-india-lower-lending-rates
German packaging ink major Siegwerk plans to double capacity in India as economy grows,,4 hours ago,— The Hindu Business,https://www.thehindu.com/business/german-packaging-ink-major-siegwerk-plans-to-double-capacity-in-india-as-economy-grows/article69669042.ece
Will India’s anti-drone tech fly on the global stage?,A story that talks about India's evolving counter-drone systems and what it means for the defence industry.,4 hours ago,— Finshots,https://finshots.in/archive/will-indias-anti-drone-tech-fly-on-the-global-stage/
????A slightly different Sunny Side Up edition,A Sunny Side Up edition where we talk about the hidden costs and unexpected expenses Indian students face when they move abroad.,4 hours ago,— Finshots,https://finshots.in/archive/a-slightly-different-sunny-side-up-edition-2/
"RBI’s gold loan direction brings clarity, standardisation, greater consumer protection, says Manappuram Finance MD",,4 hours ago,— The Hindu Business,https://www.thehindu.com/business/rbis-gold-loan-direction-brings-clarity-standardisation-greater-consumer-protection-says-manappuram-finance-md/article69669282.ece
Charting The Global Economy: ECB Nearing End Of Rate-Cut Cycle,"In the US, the closely watched jobs report showed payrolls growth is moderating, rather than abruptly weakening.",4 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/charting-the-global-economy-ecb-nearing-end-of-rate-cut-cycle
Vietnamese automaker VinFast bets big on India’s fledgling EV market,"‘We don’t want to just sell cars; we want to bring in the whole EV ecosystem,’ says VinFast Asia CEO ahead of product launch",5 hours ago,— The Hindu Business,https://www.thehindu.com/business/vinfast/article69644369.ece
Vijay Mallya Says Willing To Return To India 'If I Get Assurance Of...',"Talking about his business, media ""misunderstanding"", potential of coming back to India and more, Mallya breaks down his journey and what lies ahead.",5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/business/vijay-mallya-says-if-i-had-crumbled-kingfisher-would-have-collapsed-earlier-than-it-did
Extreme poverty in India down to 5.3% in 2022-23: World Bank,"World Bank reports India’s poverty reduction success, lifting 171 million from extreme poverty, with a 5.3% rate in 2022-23",5.5 hours ago,— The Hindu Business,https://www.thehindu.com/business/Economy/extreme-poverty-in-india-down-to-53-in-2022-23-world-bank/article69668585.ece
"GST Breather For Infosys: DGGI Closes Rs 32,400 Crore Pre-Show Cause Notice","With the receipt of the communication from DGGI, 'this matter stands closed', India's second-largest IT company Infosys said.",7 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/business/gst-breather-for-infosys-dggi-closes-rs-32400-crore-pre-show-cause-notice
